Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Category,Delivery_Risk,Distance_km,Pickup_Delay_Minutes,Rush_Hour,Order_Hour
30,4.4,21.183434,72.814492,21.253434,72.884492,1900-01-01 22:40:00,1900-01-01 22:55:00,Cloudy,Low,scooter,Metropolitian,Shoes,MEDIUM,10.641157729337486,15.0,0,22
33,5.0,19.254567,72.848923,19.364567,72.958923,1900-01-01 23:50:00,1900-01-01 23:55:00,Sandstorms,Low,motorcycle,Urban,Jewelry,MEDIUM,16.818368923733058,5.0,0,23
36,4.9,18.55144,73.804855,18.59144,73.844855,1900-01-01 15:25:00,1900-01-01 15:40:00,Fog,Medium,scooter,Metropolitian,Pet Supplies,MEDIUM,6.128551257918874,15.0,0,15
21,4.8,25.449659,81.839744,25.469659,81.859744,1900-01-01 10:20:00,1900-01-01 10:30:00,Sandstorms,Low,van,Metropolitian,Shoes,LOW,2.996250036666747,10.0,1,10
39,4.9,30.372202,78.077151,30.422202,78.127151,1900-01-01 20:55:00,1900-01-01 21:00:00,Stormy,Jam,motorcycle,Metropolitian,Skincare,HIGH,7.342175722857832,5.0,1,20
23,4.8,0.0,0.0,0.02,0.02,1900-01-01 10:40:00,1900-01-01 10:50:00,Stormy,Low,scooter,Metropolitian,Grocery,LOW,3.145067434621583,10.0,1,10
35,4.8,0.0,0.0,0.04,0.04,1900-01-01 15:55:00,1900-01-01 16:05:00,Fog,Medium,scooter,Urban,Apparel,MEDIUM,6.290134677634678,10.0,0,15
39,4.6,12.972793,80.249982,13.062793,80.339982,1900-01-01 20:10:00,1900-01-01 20:15:00,Cloudy,Jam,scooter,Metropolitian,Home,HIGH,13.972123977178395,5.0,1,20
22,4.7,21.157735,72.768778,21.197735,72.808778,1900-01-01 12:10:00,1900-01-01 12:15:00,Sunny,High,scooter,Urban,Sports,MEDIUM,6.0814407970077005,5.0,0,12
32,4.6,21.186438,72.794115,21.226438,72.834115,1900-01-01 15:30:00,1900-01-01 15:45:00,Fog,Medium,scooter,Metropolitian,Outdoors,MEDIUM,6.080891507841841,15.0,0,15
24,4.8,0.0,0.0,0.08,0.08,1900-01-01 22:10:00,1900-01-01 22:15:00,Sandstorms,Low,motorcycle,Urban,Apparel,MEDIUM,12.58026782240096,5.0,0,22
29,4.7,0.0,0.0,0.02,0.02,1900-01-01 10:35:00,1900-01-01 10:45:00,Fog,Low,motorcycle,Metropolitian,Books,LOW,3.145067434621583,10.0,1,10
20,4.5,0.0,0.0,0.05,0.05,1900-01-01 21:10:00,1900-01-01 21:25:00,Fog,Jam,motorcycle,Metropolitian,Sports,HIGH,7.8626681674103684,15.0,0,21
35,4.1,13.064181,80.236442,13.154181,80.326442,1900-01-01 20:25:00,1900-01-01 20:40:00,Sandstorms,Jam,motorcycle,Metropolitian,Pet Supplies,HIGH,13.969606427684226,15.0,1,20
39,4.6,12.933298,77.614293,13.023298,77.704293,1900-01-01 20:50:00,1900-01-01 21:00:00,Fog,Jam,scooter,Metropolitian,Electronics,HIGH,13.97320677313832,10.0,1,20
34,4.7,22.311358,73.164798,22.351358,73.204798,1900-01-01 12:35:00,1900-01-01 12:45:00,Windy,High,van,Metropolitian,Snacks,MEDIUM,6.058853851668898,10.0,0,12
27,4.7,12.934365,77.616155,13.044365,77.726155,1900-01-01 21:00:00,1900-01-01 21:15:00,Cloudy,Jam,scooter,Metropolitian,Apparel,HIGH,17.07799287216156,15.0,0,21
30,4.8,0.0,0.0,0.11,0.11,1900-01-01 23:40:00,1900-01-01 23:55:00,Windy,Low,motorcycle,Metropolitian,Sports,MEDIUM,17.29786575291325,15.0,0,23
25,4.4,13.086438,80.220672,13.196438,80.330672,1900-01-01 18:15:00,1900-01-01 18:20:00,Cloudy,Medium,scooter,Metropolitian,Jewelry,MEDIUM,17.07287190639919,5.0,1,18
25,4.7,19.254567,72.848923,19.364567,72.958923,1900-01-01 18:20:00,1900-01-01 18:25:00,Stormy,Medium,motorcycle,Urban,Electronics,MEDIUM,16.818368923733058,5.0,1,18
30,5.0,26.913483,75.803139,26.933483,75.823139,1900-01-01 11:45:00,1900-01-01 11:50:00,Stormy,High,motorcycle,Metropolitian,Kitchen,HIGH,2.9795028505763823,5.0,0,11
24,4.6,17.411028,78.329645,17.471028,78.389645,1900-01-01 20:45:00,1900-01-01 20:55:00,Stormy,Jam,motorcycle,Metropolitian,Home,HIGH,9.22086597503729,10.0,1,20
39,4.8,18.516216,73.842527,18.566216,73.892527,1900-01-01 21:55:00,1900-01-01 22:10:00,Stormy,Jam,motorcycle,Metropolitian,Home,HIGH,7.66133113422064,15.0,0,21
25,4.8,15.5696,73.742294,15.6096,73.782294,1900-01-01 12:45:00,1900-01-01 12:50:00,Windy,High,scooter,Urban,Snacks,MEDIUM,6.175516093406556,5.0,0,12
37,4.6,19.876428,75.364792,19.956428,75.444792,1900-01-01 23:30:00,1900-01-01 23:45:00,Fog,Low,motorcycle,Urban,Kitchen,MEDIUM,12.209856560906877,15.0,0,23
24,5.0,12.939496,77.625999,12.949496,77.635999,1900-01-01 10:50:00,1900-01-01 10:55:00,Fog,Low,motorcycle,Metropolitian,Electronics,LOW,1.5526813140975844,5.0,1,10
25,4.2,17.433809,78.386744,17.543809,78.496744,1900-01-01 21:25:00,1900-01-01 21:40:00,Stormy,Jam,motorcycle,Metropolitian,Cosmetics,HIGH,16.902806732498597,15.0,0,21
32,4.6,23.374878,85.335739,23.384878,85.345739,1900-01-01 10:10:00,1900-01-01 10:20:00,Stormy,Low,motorcycle,Metropolitian,Outdoors,LOW,1.5093577696342253,10.0,1,10
38,4.9,22.74806,75.8934,22.76806,75.9134,1900-01-01 08:40:00,1900-01-01 08:55:00,Cloudy,Low,scooter,Urban,Books,MEDIUM,3.0251186390180176,15.0,1,8
36,4.8,26.891191,75.802083,26.981191,75.892083,1900-01-01 17:50:00,1900-01-01 17:55:00,Sunny,Medium,van,Metropolitian,Home,MEDIUM,13.407092693002163,5.0,1,17
25,5.0,21.160437,72.774209,21.270437,72.884209,1900-01-01 20:25:00,1900-01-01 20:40:00,Stormy,Jam,motorcycle,Metropolitian,Electronics,HIGH,16.721976048741656,15.0,1,20
29,5.0,12.316967,76.603067,12.366967,76.653067,1900-01-01 22:20:00,1900-01-01 22:25:00,Sunny,Low,motorcycle,Metropolitian,Outdoors,MEDIUM,7.772343594464188,5.0,0,22
36,4.7,18.927584,72.832585,19.017584,72.922585,1900-01-01 23:40:00,1900-01-01 23:50:00,Sandstorms,Low,van,Metropolitian,Clothing,MEDIUM,13.773737657079213,10.0,0,23
33,4.7,11.022298,76.998349,11.072298,77.048349,1900-01-01 23:25:00,1900-01-01 23:30:00,Fog,Low,motorcycle,Metropolitian,Snacks,MEDIUM,7.790158927085036,5.0,0,23
36,4.4,12.325461,76.632278,12.365461,76.672278,1900-01-01 12:40:00,1900-01-01 12:55:00,Cloudy,High,scooter,Metropolitian,Skincare,MEDIUM,6.217834398579603,15.0,0,12
21,4.8,18.530963,73.828972,18.640963,73.938972,1900-01-01 23:30:00,1900-01-01 23:45:00,Windy,Low,motorcycle,Metropolitian,Sports,MEDIUM,16.852834881459735,15.0,0,23
23,4.8,19.1813,72.836191,19.3113,72.966191,1900-01-01 22:50:00,1900-01-01 23:00:00,Windy,Low,motorcycle,Metropolitian,Electronics,MEDIUM,19.87987067737402,10.0,0,22
25,4.6,11.022477,76.995667,11.032477,77.005667,1900-01-01 10:25:00,1900-01-01 10:40:00,Stormy,Low,motorcycle,Urban,Books,MEDIUM,1.5580833985943423,15.0,1,10
24,4.3,22.727021,75.884167,22.747021,75.904167,1900-01-01 08:45:00,1900-01-01 09:00:00,Sandstorms,Low,motorcycle,Urban,Apparel,MEDIUM,3.0253327061731827,15.0,1,8
27,4.6,12.979166,77.640709,13.069166,77.730709,1900-01-01 21:25:00,1900-01-01 21:40:00,Sandstorms,Jam,motorcycle,Metropolitian,Apparel,HIGH,13.971948960174704,15.0,0,21
23,4.8,18.994237,72.825553,19.104237,72.935553,1900-01-01 22:35:00,1900-01-01 22:40:00,Cloudy,Low,scooter,Urban,Jewelry,MEDIUM,16.830905551931515,5.0,0,22
21,4.3,12.284747,76.625861,12.414747,76.755861,1900-01-01 20:10:00,1900-01-01 20:20:00,Fog,Jam,scooter,Metropolitian,Books,HIGH,20.20779793335838,10.0,1,20
27,4.7,21.175975,72.795503,21.195975,72.815503,1900-01-01 10:55:00,1900-01-01 11:10:00,Sandstorms,Low,scooter,Urban,Sports,MEDIUM,3.040641621538215,15.0,1,10
32,4.2,11.000762,76.981876,11.130762,77.111876,1900-01-01 20:35:00,1900-01-01 20:45:00,Cloudy,Jam,motorcycle,Metropolitian,Skincare,HIGH,20.253785359470154,10.0,1,20
25,4.6,21.173343,72.792731,21.283343,72.902731,1900-01-01 23:20:00,1900-01-01 23:35:00,Sunny,Low,motorcycle,Metropolitian,Outdoors,MEDIUM,16.721296009802852,15.0,0,23
39,4.7,26.479108,80.315042,26.499108,80.335042,1900-01-01 10:35:00,1900-01-01 10:50:00,Cloudy,Low,scooter,Metropolitian,Books,MEDIUM,2.984550789786577,15.0,1,10
27,4.6,21.175104,72.804342,21.255104,72.884342,1900-01-01 23:45:00,1900-01-01 23:50:00,Sunny,Low,motorcycle,Metropolitian,Shoes,MEDIUM,12.161450531436996,5.0,0,23
39,3.8,19.176269,72.836721,19.286269,72.946721,1900-01-01 19:55:00,1900-01-01 20:00:00,Windy,Jam,motorcycle,Metropolitian,Books,HIGH,16.822155609316784,5.0,1,19
31,4.8,12.975377,77.696664,13.025377,77.746664,1900-01-01 22:15:00,1900-01-01 22:25:00,Sandstorms,Low,scooter,Metropolitian,Sports,MEDIUM,7.762556904358387,10.0,0,22
31,4.8,23.359194,85.325447,23.419194,85.385447,1900-01-01 23:10:00,1900-01-01 23:15:00,Sunny,Low,van,Metropolitian,Kitchen,MEDIUM,9.055855161965688,5.0,0,23
20,4.8,12.297954,76.665169,12.307954,76.675169,1900-01-01 09:15:00,1900-01-01 09:30:00,Cloudy,Low,motorcycle,Other,Sports,MEDIUM,1.5545816630915406,15.0,1,9
36,4.9,23.359407,85.325055,23.439407,85.405055,1900-01-01 18:25:00,1900-01-01 18:35:00,Cloudy,Medium,motorcycle,Urban,Cosmetics,MEDIUM,12.074047498027545,10.0,1,18
20,4.9,23.416792,85.316842,23.506792,85.406842,1900-01-01 22:10:00,1900-01-01 22:20:00,Sandstorms,Low,motorcycle,Metropolitian,Toys,MEDIUM,13.58037387628081,10.0,0,22
24,4.6,26.892312,75.806896,26.922313,75.836896,1900-01-01 20:50:00,1900-01-01 21:05:00,Cloudy,Jam,motorcycle,Metropolitian,Jewelry,MEDIUM,4.469620875558469,15.0,1,20
39,4.2,22.761593,75.886362,22.871593,75.996362,1900-01-01 18:45:00,1900-01-01 18:50:00,Fog,Medium,scooter,Metropolitian,Clothing,MEDIUM,16.634870118211385,5.0,1,18
37,4.8,11.026117,76.944652,11.066117,76.984652,1900-01-01 14:55:00,1900-01-01 15:05:00,Sunny,High,scooter,Metropolitian,Shoes,MEDIUM,6.232139486668676,10.0,0,14
32,4.9,13.064181,80.236442,13.104181,80.276442,1900-01-01 16:50:00,1900-01-01 17:00:00,Sandstorms,Medium,motorcycle,Metropolitian,Books,MEDIUM,6.209021101535329,10.0,0,16
22,4.5,26.483042,80.317833,26.533042,80.367833,1900-01-01 22:20:00,1900-01-01 22:35:00,Sandstorms,Low,scooter,Metropolitian,Skincare,MEDIUM,7.460830127736771,15.0,0,22
23,4.9,11.000762,76.981876,11.130762,77.111876,1900-01-01 00:00:00,1900-01-01 00:15:00,Windy,Low,scooter,Metropolitian,Clothing,MEDIUM,20.253785359470154,15.0,0,0
33,4.7,23.359033,85.325347,23.469033,85.435347,1900-01-01 21:10:00,1900-01-01 21:20:00,Fog,Jam,scooter,Metropolitian,Apparel,HIGH,16.60097570059501,10.0,0,21
23,,22.569358,88.433452,22.599358,88.463452,1900-01-01 23:25:00,1900-01-01 23:35:00,Sunny,Low,motorcycle,Metropolitian,Snacks,LOW,4.5403213728916425,10.0,0,23
27,4.6,12.914264,77.6784,12.994264,77.7584,1900-01-01 23:30:00,1900-01-01 23:35:00,Sunny,Low,motorcycle,Metropolitian,Pet Supplies,MEDIUM,12.421212735966272,5.0,0,23
34,4.7,19.121999,72.908493,19.161999,72.948493,1900-01-01 14:20:00,1900-01-01 14:35:00,Sunny,High,scooter,Metropolitian,Toys,MEDIUM,6.118711846690412,15.0,0,14
26,5.0,21.157729,72.768726,21.167729,72.778726,1900-01-01 10:15:00,1900-01-01 10:25:00,Fog,Low,scooter,Urban,Sports,LOW,1.5204319479995732,10.0,1,10
31,4.6,22.311603,73.165012,22.371603,73.225012,1900-01-01 21:20:00,1900-01-01 21:35:00,Cloudy,Jam,motorcycle,Metropolitian,Snacks,HIGH,9.087972744660556,15.0,0,21
32,4.9,18.536562,73.896485,18.556562,73.916485,1900-01-01 08:50:00,1900-01-01 08:55:00,Fog,Low,motorcycle,Metropolitian,Books,LOW,3.064487105761538,5.0,1,8
27,4.7,22.745536,75.893106,22.765536,75.913106,1900-01-01 09:00:00,1900-01-01 09:05:00,Cloudy,Low,motorcycle,Metropolitian,Shoes,LOW,3.025144329113472,5.0,1,9
21,4.9,12.933298,77.614293,13.023298,77.704293,1900-01-01 17:45:00,1900-01-01 18:00:00,Windy,Medium,motorcycle,Metropolitian,Pet Supplies,MEDIUM,13.97320677313832,15.0,1,17
28,4.8,12.939496,77.625999,12.989496,77.675999,1900-01-01 23:10:00,1900-01-01 23:15:00,Fog,Low,motorcycle,Metropolitian,Kitchen,MEDIUM,7.7631027847272,5.0,0,23
24,4.9,0.0,0.0,0.04,0.04,1900-01-01 16:35:00,1900-01-01 16:50:00,Fog,Medium,scooter,Urban,Toys,MEDIUM,6.290134677634678,15.0,0,16
33,4.4,17.426228,78.407495,17.436228,78.417495,1900-01-01 08:30:00,1900-01-01 08:40:00,Sandstorms,Low,motorcycle,Metropolitian,Electronics,LOW,1.5368503798527686,10.0,1,8
20,4.6,12.934365,77.616155,13.024365,77.706155,1900-01-01 20:35:00,1900-01-01 20:50:00,Fog,Jam,motorcycle,Metropolitian,Home,HIGH,13.973177561576211,15.0,1,20
31,4.3,11.003669,76.976494,11.063669,77.036494,1900-01-01 23:25:00,1900-01-01 23:40:00,Windy,Low,motorcycle,Metropolitian,Toys,MEDIUM,9.34840352266177,15.0,0,23
36,5.0,22.311358,73.164798,22.381358,73.234798,1900-01-01 19:55:00,1900-01-01 20:05:00,Fog,Jam,motorcycle,Metropolitian,Shoes,HIGH,10.602467987619454,10.0,1,19
31,4.2,12.986047,80.218114,13.096047,80.328114,1900-01-01 21:20:00,1900-01-01 21:30:00,Sandstorms,Jam,motorcycle,Metropolitian,Grocery,HIGH,17.076258901182708,10.0,0,21
39,4.1,17.41233,78.449654,17.47233,78.509654,1900-01-01 21:45:00,1900-01-01 21:50:00,Stormy,Jam,scooter,Metropolitian,Electronics,HIGH,9.22083460710919,5.0,0,21
29,4.6,21.17106,72.789292,21.25106,72.869292,1900-01-01 19:40:00,1900-01-01 19:55:00,Sunny,Jam,van,Metropolitian,Outdoors,HIGH,12.161605446009546,15.0,1,19
29,4.6,21.186884,72.793616,21.226884,72.833616,1900-01-01 14:50:00,1900-01-01 15:00:00,Sandstorms,High,scooter,Urban,Apparel,HIGH,6.08088296759392,10.0,0,14
